Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	71.0	74.0	0	15000	Band-backed Wren	babwre1	0.1358	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_120000.WAV	11.0
2	Spectrogram 1	1	84.0	87.0	0	15000	Band-backed Wren	babwre1	0.1217	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_120000.WAV	24.0
3	Spectrogram 1	1	89.0	92.0	0	15000	Band-backed Wren	babwre1	0.1419	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_120000.WAV	29.0
4	Spectrogram 1	1	709.0	712.0	0	15000	Sulphur-bellied Flycatcher	subfly	0.1773	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_130000.WAV	49.0
5	Spectrogram 1	1	714.0	717.0	0	15000	Sulphur-bellied Flycatcher	subfly	0.6136	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_130000.WAV	54.0
6	Spectrogram 1	1	715.0	718.0	0	15000	Sulphur-bellied Flycatcher	subfly	0.4174	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_130000.WAV	55.0
7	Spectrogram 1	1	716.0	719.0	0	15000	Sulphur-bellied Flycatcher	subfly	0.1503	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_130000.WAV	56.0
8	Spectrogram 1	1	717.0	720.0	0	15000	Sulphur-bellied Flycatcher	subfly	0.2159	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_130000.WAV	57.0
9	Spectrogram 1	1	807.0	810.0	0	15000	Brown Jay	brnjay	0.1027	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_131200.WAV	27.0
10	Spectrogram 1	1	820.0	823.0	0	15000	Brown Jay	brnjay	0.1098	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_131200.WAV	40.0
11	Spectrogram 1	1	821.0	824.0	0	15000	Brown Jay	brnjay	0.1615	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_131200.WAV	41.0
12	Spectrogram 1	1	823.0	826.0	0	15000	Brown Jay	brnjay	0.1159	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_131200.WAV	43.0
13	Spectrogram 1	1	1711.0	1714.0	0	15000	Brown Jay	brnjay	0.1708	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_144200.WAV	31.0
14	Spectrogram 1	1	1712.0	1715.0	0	15000	Brown Jay	brnjay	0.1400	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_144200.WAV	32.0
15	Spectrogram 1	1	1734.0	1737.0	0	15000	Brown Jay	brnjay	0.1949	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_144200.WAV	54.0
16	Spectrogram 1	1	1736.0	1739.0	0	15000	Brown Jay	brnjay	0.2867	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250627_144200.WAV	56.0
17	Spectrogram 1	1	4865.0	4868.0	0	15000	Least Tern	leater1	0.2699	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250628_050000.WAV	5.0
18	Spectrogram 1	1	5092.0	5095.0	0	15000	Least Tern	leater1	0.3862	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250628_051800.WAV	52.0
19	Spectrogram 1	1	5093.0	5096.0	0	15000	Least Tern	leater1	0.1881	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250628_051800.WAV	53.0
20	Spectrogram 1	1	5633.0	5636.0	0	15000	Cordilleran Flycatcher	corfly	0.2249	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250628_061200.WAV	53.0
21	Spectrogram 1	1	5634.0	5637.0	0	15000	Cordilleran Flycatcher	corfly	0.6294	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250628_061200.WAV	54.0
22	Spectrogram 1	1	5635.0	5638.0	0	15000	Cordilleran Flycatcher	corfly	0.3701	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250628_061200.WAV	55.0
23	Spectrogram 1	1	5636.0	5639.0	0	15000	Cordilleran Flycatcher	corfly	0.2968	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250628_061200.WAV	56.0
24	Spectrogram 1	1	6161.0	6164.0	0	15000	Brown Jay	brnjay	0.1017	D:\recs10_11_07_2025\CAMP3\49588E5A3795EB5C_20250628_070600.WAV	41.0
